date,type,amount,transaction,category,sub_category,team,event,invoice_number,transport
7/1/24,Expense,8.88,NHRA Norwalk,Travel and Meals: Deductible Meals,Meals,Airborne Images,Norwalk,240047,
7/1/24,Expense,40.75,Sonoma,Travel & Meals: Travel,Fuel,Airborne Images,Sonoma,240049,Rental Car
7/1/24,Expense,29,Udemy Training Subscription,Other Expenses,Education,"TSP, LLC",,Monthly,
7/1/24,Expense,29.99,Adobe CC,Other Expenses,Software,"TSP, LLC",,Monthly,
7/1/24,Expense,9.99,Apple iCloud,Other Expenses,Software,"TSP, LLC",,Monthly,
7/1/24,Expense,13.36,Microsoft 365,Other Expenses,Software,"TSP, LLC",,Monthly,
7/1/24,Expense,17,Heroku,Other Expenses,Web Hosting,"TSP, LLC",,Monthly,
7/1/24,Expense,146.31,The Hartford,Insurance,Business Insurance,"TSP, LLC",,,
7/1/24,Expense,109.99,FirstNet,Utilities,Cellular Service,"TSP, LLC",,,
7/1/24,Expense,99.38,iPad,Other Expenses,Office Equipment,"TSP, LLC",,,
7/1/24,Expense,82.08,Samsung Monitor - Affirm,Other Expenses,Office Equipment,"TSP, LLC",,,
7/5/24,Income,3000,Bristol Invoice,Gross Receipts,Drone Services,Airborne Images,Bristol,240039,
7/15/24,Expense,82.99,NHRA Sonoma,Travel & Meals: Travel,Fuel,Airborne Images,Sonoma,240049,Rental Car
7/18/24,Expense,-82.99,NHRA Sonoma - Airfare credit for Seattle,Travel & Meals: Travel,Airfare,Airborne Images,Sonoma,240049,
7/19/24,Expense,35.16,GoDaddy Domain Renewal,Other Expenses,Web Hosting,"TSP, LLC",,Monthly,
7/19/24,Expense,22.17,GoDaddy Domain Renewal,Other Expenses,Web Hosting,"TSP, LLC",,Monthly,
7/24/24,Income,3000,NHRA Virginia,Gross Receipts,Drone Services,Airborne Images,Richmond,240042,
7/26/24,Expense,7.76,NHRA Sonoma,Travel and Meals: Deductible Meals,Meals,Airborne Images,Sonoma,240049,
