date,type,amount,transaction,category,sub_category,team,event,invoice_number,transport
4/27/25,Expense,397.62,Charlotte I Hotel,Travel & Meals: Travel,Hotels,Airborne Images,Charlotte I,250105,Personal Vehicle
4/28/25,Expense,750,SkyGuy - 2nd Drone Operator,Contract Labor,Contractors,Airborne Images,Charlotte I,250105,
4/28/25,Expense,105.84,"Charlotte I Hotel Beckley, WV",Travel & Meals: Travel,Hotels,Airborne Images,Charlotte I,250105,
4/28/25,Expense,19.93,Charlotte Meal,Travel and Meals: Deductible Meals,Meals,Airborne Images,Charlotte I,250105,
4/29/25,Expense,68.71,Charlotte I Gas,Travel & Meals: Travel,Fuel,Airborne Images,Charlotte I,250105,Personal Vehicle
4/30/25,Expense,15,Chase Bank Fee,Other Expenses,Bank Fees,"TSP, LLC",,,
5/1/25,Expense,143.61,The Hartford Insurance,Insurance,Business Insurance,"TSP, LLC",,,
5/2/25,Expense,2.55,Google Suite,Other Expenses,Software,"TSP, LLC",,Monthly,
5/2/25,Expense,9,PaymentTech,Other Expenses,Bank Fees,"TSP, LLC",,,
5/6/25,Expense,9.99,Apple iCloud,Other Expenses,Software,"TSP, LLC",,Monthly,
5/7/25,Expense,13.38,Microsoft 365,Other Expenses,Software,"TSP, LLC",,Monthly,
5/8/25,Expense,6,AWS - Database,Other Expenses,Software,"TSP, LLC",,Monthly,
5/8/25,Expense,9,Heroku,Other Expenses,Web Hosting,"TSP, LLC",,Monthly,
5/15/25,Expense,777.97,Epping airfare,Travel & Meals: Travel,Airfare,Airborne Images,Epping,250107,
5/16/25,Income,3250,Vegas I Invoice,Gross Receipts,Drone Services,Airborne Images,Vegas I,250104,
5/16/25,Expense,11.55,Chicago Meal,Travel and Meals: Deductible Meals,Meals,Airborne Images,Chicago,250106,
5/17/25,Expense,11.32,Chicago Meal,Travel and Meals: Deductible Meals,Meals,Airborne Images,Chicago,250106,
5/17/25,Expense,15.85,Chicago Meals,Travel and Meals: Deductible Meals,Meals,Airborne Images,Chicago,250106,
5/18/25,Expense,72.66,Chicago Gas,Travel & Meals: Travel,Fuel,Airborne Images,Chicago,250106,Personal Vehicle
5/18/25,Expense,60.45,Verizon Cellular,Utilities,Cellular Service,"TSP, LLC",,,
5/18/25,Expense,44.24,Verizon iPad,Other Expenses,Office Equipment,"TSP, LLC",,,
5/20/25,Expense,348.66,Chicago Hotel,Travel & Meals: Travel,Hotels,Airborne Images,Chicago,250106,
5/20/25,Expense,16.04,Paddle.com,Other Expenses,Software,"TSP, LLC",,Monthly,
5/21/25,Expense,32.09,Adobe CC,Other Expenses,Software,"TSP, LLC",,Monthly,
5/29/25,Expense,862.6,Epping Hotel,Travel & Meals: Travel,Hotels,Airborne Images,Epping,250107,
5/30/25,Expense,15,"Chase Bank Fee, Chase Business account",Other Expenses,Bank Fees,"TSP, LLC",,,
6/1/25,Expense,13.75,Epping Tolls - Maine (Cash),Travel & Meals: Travel,Other Travel,Airborne Images,Epping,250107,
6/2/25,Expense,28.05,Epping Gas,Travel & Meals: Travel,Fuel,Airborne Images,Epping,250107,Rental Car
6/2/25,Expense,12.14,Epping meals,Travel and Meals: Deductible Meals,Meals,Airborne Images,Epping,250107,
6/2/25,Expense,13.01,Epping Meals,Travel and Meals: Deductible Meals,Meals,Airborne Images,Epping,250107,
6/4/25,Expense,401.98,Epping Car Rental,Travel & Meals: Travel,Car Rental,Airborne Images,Epping,250107,Rental Car
6/4/25,Expense,16.38,Epping Gas,Travel & Meals: Travel,Fuel,Airborne Images,Epping,250107,Rental Car
6/4/25,Expense,79.66,Epping Meals,Travel and Meals: Deductible Meals,Meals,Airborne Images,Epping,250107,
6/4/25,Expense,27.4,Epping Meals,Travel and Meals: Deductible Meals,Meals,Airborne Images,Epping,250107,
6/4/25,Income,1200,Sold DJI Mavic 3 Classic Drone,Equipment Sale,Drone Equipment Sale,Airborne Images,,,
6/5/25,Expense,37.96,Bristol Gas,Travel & Meals: Travel,Fuel,Airborne Images,Bristol,250108,Personal Vehicle
6/6/25,Income,4000,Charlotte I Invoice,Gross Receipts,Drone Services,Airborne Images,Charlotte I,250105,
6/6/25,Expense,10.83,Bristol Meal,Travel and Meals: Deductible Meals,Meals,Airborne Images,Bristol,250108,
6/7/25,Expense,10.77,Bristol Meals,Travel and Meals: Deductible Meals,Meals,Airborne Images,Bristol,250108,
6/8/25,Expense,45.14,Bristol Gas,Travel & Meals: Travel,Fuel,Airborne Images,Bristol,250108,Personal Vehicle
6/8/25,Expense,489.99,Bristol Hotel,Travel & Meals: Travel,Hotels,Airborne Images,Bristol,250108,Personal Vehicle
6/9/25,Expense,11.16,Bristol meals,Travel and Meals: Deductible Meals,Meals,Airborne Images,Bristol,250108,
6/9/25,Expense,74.85,Canopy replacement,Other Expenses,Drone Equipment,Airborne Images,,,
6/10/25,Expense,10.05,Epping Tolls - Boston,Travel & Meals: Travel,Other Travel,Airborne Images,Epping,250107,
6/10/25,Expense,26.74,Carbon Copy Cloner Software,Other Expenses,Software,"TSP, LLC",,Monthly,
6/10/25,Income,600,Sold DJI RC Pro Controller,Equipment Sale,Drone Equipment Sale,Airborne Images,,,
6/12/25,Expense,50,Starlink,Utilities,Mobile Internet,Airborne Images,,Monthly,
6/12/25,Expense,64.18,Adobe CC,Other Expenses,Software,"TSP, LLC",,Monthly,
6/12/25,Expense,9.99,Apple iCloud,Other Expenses,Software,"TSP, LLC",,Monthly,
6/12/25,Expense,6,AWS - Database,Other Expenses,Software,"TSP, LLC",,Monthly,
6/12/25,Expense,2.55,Google Suite,Other Expenses,Software,"TSP, LLC",,Monthly,
6/12/25,Expense,13.38,Microsoft 365,Other Expenses,Software,"TSP, LLC",,Monthly,
6/12/25,Expense,16.04,Paddle.com,Other Expenses,Software,"TSP, LLC",,Monthly,
6/12/25,Expense,11.19,Heroku,Other Expenses,Web Hosting,"TSP, LLC",,Monthly,
6/12/25,Expense,15,Chase Bank Fee,Other Expenses,Bank Fees,"TSP, LLC",,,
6/12/25,Expense,9,PaymentTech,Other Expenses,Bank Fees,"TSP, LLC",,,
6/12/25,Expense,143.61,The Hartford Insurance,Insurance,Business Insurance,"TSP, LLC",,,
6/12/25,Expense,72.94,Verizon Cellular,Utilities,Cellular Service,"TSP, LLC",,,
6/12/25,Expense,74.24,Verizon iPad,Other Expenses,Office Equipment,"TSP, LLC",,,
6/16/25,Expense,1616.45,Purchased DJI Air 3s Drone,Other Expenses,Drone Equipment,Airborne Images,,,
6/18/25,Expense,102.41,Virginia Hotel 1st night,Travel & Meals: Travel,Hotels,Airborne Images,Richmond,250109,
6/19/25,Expense,55.75,Virginia Gas,Travel & Meals: Travel,Fuel,Airborne Images,Richmond,250109,Personal Vehicle
6/19/25,Expense,11.9,Virginia Meal,Travel and Meals: Deductible Meals,Meals,Airborne Images,Richmond,250109,
6/20/25,Expense,59.44,Virginia Gas,Travel & Meals: Travel,Fuel,Airborne Images,Richmond,250109,Personal Vehicle
6/20/25,Expense,96.42,Table for Drone Operations,Other Expenses,Office Equipment,"TSP, LLC",,,
6/21/25,Income,3250,Chicago Invoice,Gross Receipts,Drone Services,Airborne Images,Chicago,250106,
6/22/25,Expense,45.38,Virginia Gas,Travel & Meals: Travel,Fuel,Airborne Images,Richmond,250109,Personal Vehicle
6/23/25,Expense,61.13,Virginia Gas,Travel & Meals: Travel,Fuel,Airborne Images,Richmond,250109,Personal Vehicle
6/23/25,Expense,108.66,Virginia Hotel - Return Trip Venture Card,Travel & Meals: Travel,Hotels,Airborne Images,Richmond,250109,
6/24/25,Expense,589.53,Virginia Hotel - Venture Card,Travel & Meals: Travel,Hotels,Airborne Images,Richmond,250109,
6/24/25,Expense,10.9,Virginia meals,Travel and Meals: Deductible Meals,Meals,Airborne Images,Richmond,250109,
6/25/25,Expense,121.98,Controller Rental for Norwalk,Rent or Lease: Other Business Property,Drone Equipment Rental,Airborne Images,Norwalk,250110,
6/27/25,Expense,9,Norwalk Tolls,Travel & Meals: Travel,Other Travel,Airborne Images,Norwalk,250110,
6/27/25,Expense,5.5,Norwalk Tolls,Travel & Meals: Travel,Other Travel,Airborne Images,Norwalk,250110,
6/28/25,Expense,74.35,Norwalk Gas,Travel & Meals: Travel,Fuel,Airborne Images,Norwalk,250110,Personal Vehicle
6/28/25,Expense,48.28,Norwalk Gas,Travel & Meals: Travel,Fuel,Airborne Images,Norwalk,250110,Personal Vehicle
6/28/25,Expense,27.16,Norwalk Meals,Travel and Meals: Deductible Meals,Meals,Airborne Images,Norwalk,250110,
6/29/25,Expense,74.67,Norwalk Meals,Travel and Meals: Deductible Meals,Meals,Airborne Images,Norwalk,250110,
6/30/25,Expense,48.85,Norwalk Gas,Travel & Meals: Travel,Fuel,Airborne Images,Norwalk,250110,Personal Vehicle
6/30/25,Expense,42.47,Norwalk Gas - Chase Business Debit,Travel & Meals: Travel,Fuel,Airborne Images,Norwalk,250110,Personal Vehicle
6/30/25,Expense,750,"Skyguy LLC, 2nd Drone for Norwalk",Contract Labor,Contractors,Airborne Images,Norwalk,250110,
6/30/25,Expense,814.44,Norwalk Hotel,Travel & Meals: Travel,Hotels,Airborne Images,Norwalk,250110,
6/30/25,Expense,21.42,Norwalk Meals,Travel and Meals: Deductible Meals,Meals,Airborne Images,Norwalk,250110,
6/30/25,Expense,5.5,Norwalk Tolls,Travel & Meals: Travel,Other Travel,Airborne Images,Norwalk,250110,
7/1/25,Income,3250,Epping Invoice Paid,Gross Receipts,Drone Services,Airborne Images,Epping,250107,
7/1/25,Expense,436.53,Return flight from Sonoma race,Travel & Meals: Travel,Airfare,Airborne Images,Sonoma,250112,
7/2/25,Expense,50,Starlink,Utilities,Mobile Internet,Airborne Images,,Monthly,
7/2/25,Expense,64.18,Adobe CC,Other Expenses,Software,"TSP, LLC",,Monthly,
7/2/25,Expense,9.99,Apple iCloud,Other Expenses,Software,"TSP, LLC",,Monthly,
7/2/25,Expense,6,AWS - Database,Other Expenses,Software,"TSP, LLC",,Monthly,
7/2/25,Expense,7.2,Google Business Suite,Other Expenses,Software,"TSP, LLC",,Monthly,
7/2/25,Expense,13.38,Microsoft 365,Other Expenses,Software,"TSP, LLC",,Monthly,
7/2/25,Expense,16.04,Paddle.com,Other Expenses,Software,"TSP, LLC",,Monthly,
7/2/25,Expense,11.19,Heroku,Other Expenses,Web Hosting,"TSP, LLC",,Monthly,
7/2/25,Expense,15,Chase Bank Fee,Other Expenses,Bank Fees,"TSP, LLC",,,
7/2/25,Expense,9.95,PaymentTech,Other Expenses,Bank Fees,"TSP, LLC",,,
7/2/25,Expense,143.61,The Hartford Insurance,Insurance,Business Insurance,"TSP, LLC",,,
7/2/25,Expense,72.94,Verizon Cellular,Utilities,Cellular Service,"TSP, LLC",,,
7/2/25,Expense,74.24,Verizon iPad,Other Expenses,Office Equipment,"TSP, LLC",,,
7/3/25,Expense,5220.16,Purchase DJI Mavic 4 Pro Creator Kit,Other Expenses,Drone Equipment,Airborne Images,,,
7/4/25,Expense,2.55,Google Suite,Other Expenses,Software,"TSP, LLC",,Monthly,
7/7/25,Income,2200,Sold Mavic 3 Pro: 1581F67Q72497M04W1D4,Equipment Sale,Drone Equipment Sale,Airborne Images,,,
7/26/25,Income,4000,Norwalk Invoice Paid,Gross Receipts,Drone Services,Airborne Images,Norwalk,250110,
7/30/25,Expense,11.4,Charlotte I Tolls,Travel & Meals: Travel,Other Travel,Airborne Images,Charlotte I,250105,
8/4/25,Expense,25,Minnesota DOT Aircraft Registration,Other Expenses,Registrations,Airborne Images,,,
