date,start,end,total,client,invoice_number,deductible,event,vehicle,mileage_type
6/30/25,110142.7,111109.8,967.1,NHRA,250110,Yes,Norwalk,Lead Foot,Taxable
6/23/25,108501.3,110043.3,1542,NHRA,250109,Yes,Richmond,Lead Foot,Taxable
6/8/25,107283,108235.6,952.6,NHRA,250108,Yes,Bristol,Lead Foot,Taxable
5/18/25,106568.5,107085,516.5,NHRA,250106,Yes,Chicago  ,Lead Foot,Taxable
4/28/25,104816.7,106098.1,1281.4,NHRA,250105,Yes,Charlotte I,Lead Foot,Taxable
5/20/24,43180,46385,3205,NHRA,240033,Yes,Chicago  ,Ruby,Taxable
