Name,Type,Brand,Model,Serial Number,FAA Number,FAA Certificate URL,Purchase Date,Purchase Cost,Receipt URL,Date Sold,Sale Price,Deducted Full Cost,Active,Notes
RC Pro 1,Controller,DJI,RC Pro Controller,,,,2024-11-04,967.00,/media/receipts/RC_PRO_Receipt.pdf,2025-06-24,600.00,Yes,No,
RC Pro 2,Controller,DJI,RC Pro,,,,2023-06-20,1042.00,,2025-04-02,625.00,Yes,No,
Mavic 3 Classic,Drone,DJI,Mavic 3 Classic,,,/media/registrations/Screenshot_2025-08-04_at_11.59.20PM.png,2024-04-11,1389.93,/media/receipts/mavic_3.pdf,2025-06-24,1200.00,Yes,No,Included RC Controller and 3 batteries
